TimeSeriesResponse{metaData=MetaData{information=Intraday (5min) open, high, low, close prices and volumesymbol=IBMlastRefreshed=2023-11-17 19:55:00timeZone=US/Easterninterval=5minoutputSize=Compact}, stockUnits=[
StockUnit{open=153.219, high=153.26, low=153.19, close=153.21, adjustedClose=0.0, volume=11425, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:20:00}, 
StockUnit{open=153.09, high=153.215, low=153.09, close=153.215, adjustedClose=0.0, volume=26465, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:15:00}, 
StockUnit{open=153.165, high=153.165, low=153.01, close=153.08, adjustedClose=0.0, volume=24844, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:10:00}, 
StockUnit{open=153.18, high=153.22, low=153.1, close=153.175, adjustedClose=0.0, volume=78515, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:05:00}, 
StockUnit{open=153.21, high=153.21, low=153.145, close=153.173, adjustedClose=0.0, volume=76587, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:00:00}, 
StockUnit{open=153.28, high=153.29, low=153.19, close=153.215, adjustedClose=0.0, volume=21404, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:55:00}, 
StockUnit{open=153.285, high=153.31, low=153.26, close=153.275, adjustedClose=0.0, volume=21045, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:50:00}, 
StockUnit{open=153.195, high=153.29, low=153.19, close=153.29, adjustedClose=0.0, volume=19956, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:45:00}, 
StockUnit{open=153.14, high=153.21, low=153.14, close=153.195, adjustedClose=0.0, volume=20157, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:40:00}, 
StockUnit{open=153.14, high=153.17, low=153.1, close=153.15, adjustedClose=0.0, volume=17194, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:35:00}, 
StockUnit{open=153.05, high=153.14, low=153.04, close=153.14, adjustedClose=0.0, volume=26818, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:30:00}, 
StockUnit{open=153.01, high=153.06, low=152.97, close=153.05, adjustedClose=0.0, volume=12498, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:25:00}, 
StockUnit{open=153.08, high=153.103, low=153.015, close=153.04, adjustedClose=0.0, volume=10659, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:20:00}, 
StockUnit{open=153.1, high=153.13, low=153.02, close=153.1, adjustedClose=0.0, volume=15975, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:15:00}, 
StockUnit{open=153.03, high=153.105, low=153.02, close=153.099, adjustedClose=0.0, volume=14469, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:10:00}, 
StockUnit{open=153.04, high=153.07, low=153.012, close=153.03, adjustedClose=0.0, volume=10184, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:05:00}, 
StockUnit{open=153.0, high=153.065, low=152.97, close=153.04, adjustedClose=0.0, volume=13578, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 12:00:00}, 
StockUnit{open=153.0, high=153.015, low=152.96, close=153.0, adjustedClose=0.0, volume=10382, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:55:00}, 
StockUnit{open=153.08, high=153.095, low=153.02, close=153.025, adjustedClose=0.0, volume=18420, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:50:00}, 
StockUnit{open=153.083, high=153.09, low=153.005, close=153.075, adjustedClose=0.0, volume=23015, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:45:00}, 
StockUnit{open=153.1, high=153.105, low=153.01, close=153.085, adjustedClose=0.0, volume=33288, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:40:00}, 
StockUnit{open=152.85, high=153.15, low=152.81, close=153.11, adjustedClose=0.0, volume=25972, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:35:00}, 
StockUnit{open=152.98, high=152.98, low=152.8, close=152.85, adjustedClose=0.0, volume=21931, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:30:00}, 
StockUnit{open=153.0, high=153.03, low=152.95, close=153.0, adjustedClose=0.0, volume=27809, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:25:00}, 
StockUnit{open=152.831, high=153.028, low=152.831, close=153.01, adjustedClose=0.0, volume=18849, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:20:00}, 
StockUnit{open=152.74, high=152.865, low=152.72, close=152.85, adjustedClose=0.0, volume=47339, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:15:00}, 
StockUnit{open=152.64, high=152.79, low=152.63, close=152.75, adjustedClose=0.0, volume=20336, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:10:00}, 
StockUnit{open=152.62, high=152.65, low=152.49, close=152.64, adjustedClose=0.0, volume=33395, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:05:00}, 
StockUnit{open=152.625, high=152.691, low=152.55, close=152.65, adjustedClose=0.0, volume=20258, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 11:00:00}, 
StockUnit{open=152.65, high=152.665, low=152.595, close=152.62, adjustedClose=0.0, volume=30667, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 10:55:00}], errorMessage='null'}
